Table Name,Data Element Name,Data Type,Length,Description,
tbl_Budgets,CaseNo,bigint,8,Consumer iConnect ID,
tbl_Budgets,BudgetID,bigint,8,Budget ID,
tbl_Budgets,BudgetType,varchar,100,Budget Type,
tbl_Budgets,BudgetStatus,varchar,100,Budget Status,
tbl_Budgets,FiscalYear,varchar,100,FiscalYear,
tbl_Budgets,Programs,varchar,75,Program Consumer Enrolled into,
tbl_Budgets,WSC,varchar,100,Waiver Support Coordinator Name,
tbl_Budgets,ApprovedBy,int,4,Approved By APD Staff Name,
tbl_Budgets,ApprovalDate,datetime,8,Approval Date,
tbl_Budgets,StartDate,datetime,8,Start Date,
tbl_Budgets,EndDate,datetime,8,End Date,
tbl_Budgets,BudgetAmount,numeric,9,Budget Amount,
tbl_Budgets,AnnualizedAmount,numeric,9,Annualized Budget Amount,
tbl_Budgets,AmountEncumbered,numeric,9,Amount Encumbered,
tbl_Budgets,AmountUnauthorized,numeric,9,Amount Unauthorized,
tbl_Budgets,PrioriBudgetAmount,numeric,9,Priori Budget Amount,
tbl_Budgets,Comments,varchar,Max,Comments,
tbl_Budgets,UserStamp,varchar,100,UserStamp,
tbl_Budgets,DateTimeStamp,datetime,8,DateTimeStamp,
tbl_Claims_MMIS,CaseNo,bigint,8,Consumer iConnect ID,
tbl_Claims_MMIS,PIN,varchar,20,Legacy ABC PIN,
tbl_Claims_MMIS,ProviderName,varchar,500,Provider Name,
tbl_Claims_MMIS,ProviderMedcId,varchar,20,Provider Medicaid ID,
tbl_Claims_MMIS,ProcCode,varchar,20,Service Procedure Code ,
tbl_Claims_MMIS,ServiceDate,datetime,8,Date Service Provided,
tbl_Claims_MMIS,Units,int,4,Units,
tbl_Claims_MMIS,BilledAmt,numeric,5,Billed Amount,
tbl_Claims_MMIS,PaidAmt,numeric,5,Paid Amount,
tbl_Claims_MMIS,PaidDate,datetime,8,Paid Date,
tbl_Claims_MMIS,ICN,varchar,100,ICN - Claim Number in FMMIS,
tbl_Claims_MMIS,AdjustICN,varchar,100,AdjustICN,
tbl_Claims_MMIS,TreatingProvMedcId,varchar,20,WSC Treating Provider Medicaid ID,
tbl_Claims_MMIS,TransType,char,1,"Transaction Type (X-Cancel, A-ADD, C-Change)",
tbl_Claims_MMIS,LineNmbr,varchar,20,Line Number,
tbl_Claims_MMIS,PA,varchar,20,PA-Prior Authorization,
tbl_Claims_MMIS,ClaimType,char,1,Claim Type,
tbl_Claims_MMIS,ClaimSubType,char,1,Claim Sub Type,
tbl_Claims_MMIS,CreateDate,datetime,8,Create Date,
tbl_Claims_MMIS,Id,bigint,8,Claim ID,
tbl_ConsumerContacts,CONTACTID,bigint,8,Contact ID,
tbl_ConsumerContacts,FIRSTNAME,varchar,30,Legal Representative FIRST NAME,
tbl_ConsumerContacts,LASTNAME,varchar,30,Legal Representative LAST NAME,
tbl_ConsumerContacts,GENDER,varchar,100,GENDER,
tbl_ConsumerContacts,CASENO,bigint,8,Consumer iConnect ID,
tbl_ConsumerContacts,RELATIONSHIP,varchar,100,RELATIONSHIP,
tbl_ConsumerContacts,Multirelationship,varchar,Max,Multiple relationship,
tbl_ConsumerContacts,Active,int,4,Active,
tbl_ConsumerContacts,DateTimeStamp,datetime2,7,DateTimeStamp,
tbl_ConsumerContacts,UserStamp,varchar,100,UserStamp,
tbl_ConsumerContacts,RECID,bigint,8,Record ID,
tbl_Consumers,CASENO,bigint,8,Consumer iConnect ID,
tbl_Consumers,DOB,datetime,8,DOB,
tbl_Consumers,GENDER,varchar,100,GENDER,
tbl_Consumers,RACE,varchar,100,RACE,
tbl_Consumers,PLANGUAGE,varchar,100,Written Language,
tbl_Consumers,SLANGUAGE,varchar,100,Spoken Language,
tbl_Consumers,TITLE,varchar,50,TITLE,
tbl_Consumers,ETHNICITYLOOKUP,varchar,30,ETHNICITY LOOKUP,
tbl_Consumers,County,varchar,100,County,
tbl_Consumers,District,varchar,25,District,
tbl_Consumers,Region,varchar,100,Region,
tbl_Consumers,DOD,datetime,8,DOD-Date of Death,
tbl_Consumers,CauseOfDeath,varchar,1000,Cause Of Death,
tbl_Consumers,DODAction,varchar,50,DOD Action,
tbl_Consumers,DODFileNumber,varchar,25,DOD FileNumber,
tbl_Consumers,RESIDENCETYPE,varchar,100,Living Setting,
tbl_Consumers,MedicaidId,varchar,500,Medicaid ID,
tbl_Consumers,ABCPIN,varchar,50,Legacy ABC PIN,
tbl_Consumers,ReferralSource,varchar,100,Referral Source,
tbl_Consumers,CBCFlag,bit,1,CBC Flag- Identifies if the Consumer has enrolled in CBC Program,
tbl_Consumers,ReferredToVR,varchar,50,ReferredToVR,
tbl_Consumers,ANNUALINCOME,numeric,9,ANNUAL INCOME,
tbl_Consumers,Competency,varchar,50,Competency,
tbl_Consumers,Status,varchar,10,Status,
tbl_Consumers,DevelopmentalDisability,varchar,Max,Developmental Disability,
tbl_Consumers,FUNDCODE,varchar,25,FUND CODE (Division),
tbl_Consumers,DISPOSITION,varchar,100,DISPOSITION,
tbl_Consumers,DISPOSITIONDATE,datetime,8,DISPOSITION DATE,
tbl_Consumers,OPENDATE,datetime,8,OPEN DATE,
tbl_Consumers,OPENREASON,varchar,Max,OPEN REASON,
tbl_Consumers,CLOSEDATE,datetime,8,CLOSE DATE,
tbl_Consumers,CLOSEREASON,varchar,100,CLOSE REASON,
tbl_Consumers,ApplicationReceivedDate,datetime,8,Application Received Date,
tbl_Consumers,ApplicationReceivedViaOAS,varchar,50,Application Received Via OAS,
tbl_Consumers,ApplicantRequestingCWE,varchar,50,Applicant Requesting CWE,
tbl_Consumers,RequiresSOPTReview,varchar,10,Requires SOPT Review,
tbl_Consumers,DateAssignedToSOPT,datetime,8,Date Assigned To SOPT,
tbl_Consumers,SOPTName,varchar,100,SOPTName,
tbl_Consumers,DateSOPTCompletedReview,datetime,8,Date SOPT Completed Review,
tbl_Consumers,OPENID,bigint,8,Open ID,
tbl_Consumers,PRIMARYWORKER,varchar,100,PRIMARY WORKER,
tbl_Consumers,PRIMARYWORKERID,bigint,8,Primary Worker ID,
tbl_Consumers,SECONDWORKER,varchar,100,SECONDARY WORKER,
tbl_Consumers,SECONDWORKERID,bigint,8,Secondary Worker ID,
tbl_Consumers,PrimaryDiagnosis,varchar,200,Primary Diagnosis,
tbl_Consumers,SecondaryDiagnosis,varchar,200,Secondary Diagnosis,
tbl_Consumers,OtherDiagnosis,varchar,200,Other Diagnosis,
tbl_Consumers,MentalHealthDiag1,varchar,200,Mental Health Diagnosis1,
tbl_Consumers,MentalHealthDiag2,varchar,200,Mental Health Diagnosis 2,
tbl_Consumers,MentalHealthDiag3,varchar,200,Mental Health Diagnosis 3,
tbl_Consumers,MentalHealthDiag4,varchar,200,Mental Health Diagnosis 4,
tbl_Consumers,MentalHealthDiag_5_6,varchar,100,Mental Health Diagnosis 5_6,
tbl_Consumers,REVIEW,varchar,100,REVIEW,
tbl_Consumers,REVIEWDATE,datetime,8,REVIEW DATE,
tbl_Consumers,SSNMonthlyBenefitAmt,varchar,50,SSN Monthly Benefit Amount,
tbl_Consumers,3rdPartyHealthInsurance,varchar,50,3rd Party Health Insurance,
tbl_Consumers,CompetitivelyEmployed,varchar,50,Competitively Employed,
tbl_Consumers,HireDate,varchar,50,Hire Date,
tbl_Consumers,AvgMonthlyEarnings,varchar,50,Average Monthly Earnings,
tbl_Consumers,WantsEmployment,varchar,50,Wants Employment,
tbl_Consumers,HourlyWage,varchar,50,Hourly Wage,
tbl_Consumers,MinimumWage,varchar,50,Minimum Wage,
tbl_Consumers,CONTACTID,bigint,8,Contact ID,
tbl_Consumers,DateTimeStamp,datetime,8,DateTimeStamp,
tbl_Consumers,UserStamp,varchar,100,UserStamp,
tbl_Consumers,Id,int,4,Id,
tbl_Diagnosis,CASENO,bigint,8,Consumer iConnect ID,
tbl_Diagnosis,FUNDCODE,varchar,25,FUNDCODE,
tbl_Diagnosis,PrimaryDiagnosis,varchar,200,Primary Diagnosis,
tbl_Diagnosis,SecondaryDiagnosis,varchar,200,Secondary Diagnosis,
tbl_Diagnosis,TertiaryDiagnosis,varchar,200,Tertiary Diagnosis,
tbl_Diagnosis,QuaternaryDiagnosis,varchar,200,Quaternary Diagnosis,
